Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189384,0.00029999967,0.12013398026242109,11.199756394640682,0.09736184,0.12017093262247405
20000,1.4195186,0.0002999991,0.08777378618891085,7.977558348294434,0.02819415,0.08781670696651839
30000,1.4194602,0.0002999985,0.08617620952755607,7.8220264317180614,0.050326485,0.08613215384241768
40000,1.4192032,0.00029999795,0.19674747034982598,18.87272727272727,0.06371911,0.19637825452840665
50000,1.419547,0.00029999737,0.10754614309018455,9.944625407166123,0.07349805,0.10759520579141618
60000,1.4186996,0.00029999667,0.11184421284945696,10.423825887743414,0.06249958,0.1118285643096481
70000,1.4178067,0.0002999961,0.13167574637561874,12.374659400544958,0.066695735,0.13156461687821921
80000,1.4173762,0.00029999547,0.13026007511186738,12.217165149544863,0.0706891,0.13029947007453302
90000,1.417098,0.0002999949,0.12601273603689897,11.797452229299363,0.07376664,0.12599999194929173
100000,1.4158797,0.0002999943,0.1273061732385851,11.90407358738502,0.075254425,0.12732542012186232
110000,1.4144516,0.00029999373,0.1390291231060491,13.07628294036061,0.08044986,0.13903180275107238
120000,1.4134151,0.00029999312,0.13417721219077894,12.59915611814346,0.08607566,0.13416314111962266
130000,1.4131106,0.0002999925,0.1307712053032568,12.244215938303341,0.075142704,0.1307197868426577
140000,1.41283,0.00029999187,0.1254402074458643,11.703022339027596,0.075666696,0.1254330641978721
150000,1.4123155,0.00029999134,0.1433873311102127,13.503681885125184,0.08757182,0.14338732550581793
160000,1.4113885,0.00029999067,0.14746724561214708,13.895196506550219,0.08690023,0.14747812472957217
170000,1.409762,0.00029999012,0.1404936498921622,13.2524682651622,0.07744723,0.14056416634307342
180000,1.4078857,0.0002999895,0.14075144194066525,13.263005780346822,0.08379725,0.1406782025371881
190000,1.406033,0.00029998893,0.15243076582367604,14.438461538461539,0.09388886,0.15249999014683713
200000,1.4049802,0.00029998829,0.13884615074270046,13.065527065527066,0.085441485,0.13876067584067414
210000,1.4049124,0.0002999877,0.14864984830946437,14.034124629080118,0.09128194,0.14868342303312743
220000,1.4045862,0.0002999871,0.14261560374870896,13.427745664739884,0.08806408,0.14261559906517926
230000,1.4033065,0.0002999865,0.14276720032281356,13.439238653001464,0.088023886,0.14277125282426123
