Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189384,0.0002999997,0.3900970786592914,38.78155339805825,4.1099706,0.38624387547918937
20000,1.4197865,0.00029999914,0.5834838579258611,57.87741935483871,2.7797384,0.5903225240568
30000,1.4187127,0.00029999847,0.5870555424338414,58.2,2.3582697,0.5844750863535958
40000,1.4187824,0.00029999792,0.5139459344583589,51.0,2.5798435,0.5139458993600833
50000,1.4179063,0.00029999734,0.5797530734612618,57.48765432098765,2.6423037,0.5797530332764174
60000,1.4177543,0.00029999667,0.5878160788153095,58.275862068965516,2.0022519,0.5930408814823941
70000,1.4174198,0.00029999609,0.552817667201573,54.81767955801105,1.7630808,0.5474862927886469
80000,1.4159235,0.00029999553,0.5765217262441698,57.15527950310559,1.7850921,0.5775308147601691
90000,1.4152964,0.0002999949,0.6417532324089439,63.577922077922075,2.2521863,0.6411764108594141
100000,1.4148943,0.0002999943,0.599320974258453,59.407407407407405,1.7045594,0.6001226453944767
110000,1.4146079,0.0002999937,0.5814285584326301,57.62637362637363,1.1172212,0.5814285217733174
120000,1.4142241,0.00029999306,0.5433898183627653,53.91525423728814,0.9052462,0.5433897827199455
130000,1.4135628,0.0002999925,0.536057130875332,53.16571428571429,0.9821926,0.5360570987739733
140000,1.4129796,0.00029999192,0.5834502793565305,57.8187134502924,0.79051477,0.5786390002905089
150000,1.4120862,0.00029999122,0.6164242286460869,61.096969696969694,0.8355174,0.6208981478330261
160000,1.4112691,0.00029999073,0.5201104856121935,51.613259668508285,0.7790695,0.5218888471627401
170000,1.4110587,0.00029999015,0.5299999881535769,52.59574468085106,0.6055099,0.5285637855153293
180000,1.4110006,0.0002999895,0.6109523672965311,60.54761904761905,0.6022028,0.6125594700376192
190000,1.4113445,0.0002999889,0.5537724427120414,54.91017964071856,0.49048164,0.5537125263251588
200000,1.4122149,0.0002999883,0.5855357011979712,58.04761904761905,0.4954958,0.579940426329683
210000,1.4124668,0.00029998773,0.6179354700590334,61.251612903225805,0.54589754,0.6213460971529667
220000,1.4124422,0.0002999871,0.53234373810119,52.796875,0.34176356,0.5356841706621803
230000,1.4122531,0.0002999865,0.5736813058585419,56.857142857142854,0.32801658,0.5655737228467653
240000,1.4116064,0.000299986,0.545058127351885,54.05232558139535,0.33668458,0.5496531339265363
250000,1.4119455,0.0002999853,0.5079069653915804,50.406976744186046,0.29764366,0.5079069365097513
260000,1.4122416,0.0002999847,0.6305202171206474,62.46820809248555,0.3245827,0.6305201767023244
270000,1.4120936,0.00029998415,0.5269613141883474,52.28176795580111,0.29120633,0.5297206273853945
280000,1.4123563,0.00029998348,0.5998245479963851,59.45029239766082,0.23538965,0.5951461466955162
290000,1.4124088,0.0002999829,0.5828048650220763,57.798780487804876,0.2867706,0.5876686600911105
300000,1.4121598,0.00029998235,0.5917058691272841,58.67058823529412,0.18594208,0.5888952990604002
310000,1.4105932,0.0002999817,0.5550920121326037,55.05521472392638,0.22400488,0.5544511720697146
320000,1.4104258,0.00029998113,0.6326993723611342,62.70552147239264,0.2639763,0.6326993262749508
330000,1.4093245,0.00029998057,0.6026347170689863,59.73053892215569,0.24324374,0.6009637987779746
340000,1.4085008,0.00029997987,0.572023796738081,56.726190476190474,0.24548203,0.5634939238900342
350000,1.4078767,0.00029997932,0.6039130299797525,59.86335403726708,0.21984151,0.6138414070805217
360000,1.4072187,0.0002999787,0.612555541863872,60.68888888888889,0.19333467,0.6059775972666022
370000,1.4065667,0.00029997807,0.5358749880222604,53.16875,0.25440252,0.5436645482915529
380000,1.4067631,0.0002999775,0.6667164030081746,66.05223880597015,0.33634427,0.6667163511738181
390000,1.4072058,0.00029997693,0.7004761748193276,69.37414965986395,0.28509897,0.698219109977251
400000,1.407539,0.00029997627,0.6687341622678162,66.25949367088607,0.25128484,0.6687974038569233
410000,1.4068527,0.00029997568,0.5963999866694212,59.10857142857143,0.21957861,0.6011428003864628
420000,1.4056964,0.00029997513,0.545874987798743,54.1625,0.24726409,0.5436645456769081
430000,1.4054283,0.0002999745,0.6583647651586143,65.23270440251572,0.2860594,0.661870905312319
440000,1.4045539,0.00029997388,0.5921290190229492,58.696774193548386,0.2631882,0.5903773032972273
450000,1.4029607,0.00029997333,0.59463854092566,58.963855421686745,0.29021126,0.5946384994088706
460000,1.4024054,0.00029997274,0.6861481328115419,67.97037037037038,0.3300039,0.6861480777738271
470000,1.4022582,0.0002999721,0.629880938302016,62.42857142857143,0.30361554,0.6298808908156518
480000,1.4020256,0.00029997155,0.6269620113027624,62.12658227848101,0.23011793,0.6269619688155907
490000,1.4018474,0.00029997097,0.6191723999535216,61.33793103448276,0.19233525,0.6191723561235543
500000,1.4017113,0.0002999703,0.7233774672749619,71.65562913907284,0.23555556,0.7265099956085218
510000,1.4013914,0.00029996972,0.634304621583776,62.86092715231788,0.37894344,0.6324182402683434
520000,1.4008925,0.00029996916,0.6097575621284319,60.45454545454545,0.3191815,0.609757520901886
530000,1.4007332,0.0002999685,0.5785442908659955,57.37341772151899,0.24139827,0.578544250783758
540000,1.4003552,0.0002999679,0.7094444285871254,70.27777777777777,0.2940733,0.7000708511455896
550000,1.3997808,0.00029996733,0.6054658249761007,59.975155279503106,0.26707062,0.6158384546660673
560000,1.3993517,0.0002999667,0.6813333181043466,67.48666666666666,0.34717548,0.6772367784165239
570000,1.398474,0.0002999661,0.6511347372190538,64.54609929078015,0.34462827,0.653873176208999
580000,1.3978345,0.00029996556,0.6675694295231046,66.14583333333333,0.22412749,0.6675693817928227
590000,1.3981452,0.0002999649,0.6939215531170952,68.70588235294117,0.3686263,0.6939215014378229
600000,1.3980283,0.0002999643,0.6828378225752229,67.60135135135135,0.30004337,0.6726026755617294
610000,1.3973688,0.0002999637,0.685902762446656,67.94444444444444,0.2712296,0.6971527104421208
620000,1.3977549,0.00029996308,0.6565941882225267,65.04347826086956,0.35993555,0.6560713651590049
630000,1.3977213,0.00029996253,0.70077463222379,69.38732394366197,0.30527627,0.7007745811059861
640000,1.3965842,0.00029996192,0.677857127705855,67.13571428571429,0.36044034,0.6794243964949529
650000,1.3960856,0.00029996128,0.7800793476432325,77.25396825396825,0.6360997,0.7792799195051193
660000,1.3979381,0.00029996072,0.6380575396951368,63.194244604316545,0.625351,0.6366905917902644
670000,1.3987025,0.00029996017,0.8018115762810128,79.3623188405797,0.6255049,0.8012856306907322
680000,1.3989742,0.0002999595,0.689935468449708,68.32903225806452,0.22171706,0.6899354171128043
690000,1.3986889,0.00029995892,0.5856410125509287,58.05769230769231,0.18489443,0.585640972145857
700000,1.3974576,0.00029995837,0.6530434636642104,64.67391304347827,0.29766807,0.6530434136562373
710000,1.3967489,0.00029995764,0.671589388962317,66.5364238410596,0.18079989,0.6715893380787988
